thedrummer/rocinante-12b,Rocinante 12B,null,paid,
meta-llama/llama-3.2-3b-instruct,Meta,Llama 3.2 3B Instruct,paid,
meta-llama/llama-3.2-1b-instruct:free,Meta,Llama 3.2 1B Instruct (free),free,
meta-llama/llama-3.2-1b-instruct,Meta,Llama 3.2 1B Instruct,paid,
meta-llama/llama-3.2-90b-vision-instruct,Meta,Llama 3.2 90B Vision Instruct,paid,
meta-llama/llama-3.2-11b-vision-instruct:free,Meta,Llama 3.2 11B Vision Instruct (free),free,
meta-llama/llama-3.2-11b-vision-instruct,Meta,Llama 3.2 11B Vision Instruct,paid,
qwen/qwen-2.5-72b-instruct,Qwen2.5 72B Instruct,null,paid,
qwen/qwen-2-vl-72b-instruct,Qwen2-VL 72B Instruct,null,paid,
neversleep/llama-3.1-lumimaid-8b,NeverSleep,Lumimaid v0.2 8B,paid,
openai/o1-mini-2024-09-12,OpenAI,o1-mini (2024-09-12),paid,
openai/o1-preview,OpenAI,o1-preview,paid,
openai/o1-preview-2024-09-12,OpenAI,o1-preview (2024-09-12),paid,
openai/o1-mini,OpenAI,o1-mini,paid,
mistralai/pixtral-12b,Mistral,Pixtral 12B,paid,
cohere/command-r-08-2024,Cohere,Command R (08-2024),paid,
cohere/command-r-plus-08-2024,Cohere,Command R+ (08-2024),paid,
qwen/qwen-2-vl-7b-instruct,Qwen2-VL 7B Instruct,null,paid,
sao10k/l3.1-euryale-70b,Sao10K,Llama 3.1 Euryale 70B v2.2,paid,
google/gemini-flash-1.5-8b-exp,Google,Gemini Flash 1.5 8B Experimental,free,
ai21/jamba-1-5-large,AI21,Jamba 1.5 Large,paid,
ai21/jamba-1-5-mini,AI21,Jamba 1.5 Mini,paid,
microsoft/phi-3.5-mini-128k-instruct,Microsoft,Phi-3.5 Mini 128K Instruct,paid,
nousresearch/hermes-3-llama-3.1-70b,Nous,Hermes 3 70B Instruct,paid,
nousresearch/hermes-3-llama-3.1-405b,Nous,Hermes 3 405B Instruct,paid,
openai/chatgpt-4o-latest,OpenAI,ChatGPT-4o,paid,
sao10k/l3-lunaris-8b,Sao10K,Llama 3 8B Lunaris,paid,
aetherwiing/mn-starcannon-12b,Aetherwiing,Starcannon 12B,paid,
openai/gpt-4o-2024-08-06,OpenAI,GPT-4o (2024-08-06),paid,
meta-llama/llama-3.1-405b,Meta,Llama 3.1 405B (base),paid,
nothingiisreal/mn-celeste-12b,Mistral Nemo 12B Celeste,null,paid,
perplexity/llama-3.1-sonar-small-128k-chat,Perplexity,Llama 3.1 Sonar 8B,paid,
perplexity/llama-3.1-sonar-large-128k-chat,Perplexity,Llama 3.1 Sonar 70B,paid,
perplexity/llama-3.1-sonar-large-128k-online,Perplexity,Llama 3.1 Sonar 70B Online,paid,
perplexity/llama-3.1-sonar-small-128k-online,Perplexity,Llama 3.1 Sonar 8B Online,paid,
meta-llama/llama-3.1-405b-instruct,Meta,Llama 3.1 405B Instruct,paid,
meta-llama/llama-3.1-8b-instruct:free,Meta,Llama 3.1 8B Instruct (free),free,
meta-llama/llama-3.1-8b-instruct,Meta,Llama 3.1 8B Instruct,paid,
meta-llama/llama-3.1-70b-instruct,Meta,Llama 3.1 70B Instruct,paid,
mistralai/mistral-nemo:free,Mistral,Mistral Nemo (free),free,
mistralai/mistral-nemo,Mistral,Mistral Nemo,paid,
mistralai/codestral-mamba,Mistral,Codestral Mamba,paid,
openai/gpt-4o-mini,OpenAI,GPT-4o-mini,paid,
openai/gpt-4o-mini-2024-07-18,OpenAI,GPT-4o-mini (2024-07-18),paid,
qwen/qwen-2-7b-instruct:free,Qwen 2 7B Instruct (free),null,free,
qwen/qwen-2-7b-instruct,Qwen 2 7B Instruct,null,paid,
google/gemma-2-27b-it,Google,Gemma 2 27B,paid,
alpindale/magnum-72b,Magnum 72B,null,paid,
google/gemma-2-9b-it:free,Google,Gemma 2 9B (free),free,
google/gemma-2-9b-it,Google,Gemma 2 9B,paid,
01-ai/yi-large,01.AI,Yi Large,paid,
ai21/jamba-instruct,AI21,Jamba Instruct,paid,
anthropic/claude-3.5-sonnet-20240620:beta,Anthropic,Claude 3.5 Sonnet (2024-06-20) (self-moderated),paid,
anthropic/claude-3.5-sonnet-20240620,Anthropic,Claude 3.5 Sonnet (2024-06-20),paid,
sao10k/l3-euryale-70b,Sao10k,Llama 3 Euryale 70B v2.1,paid,
cognitivecomputations/dolphin-mixtral-8x22b,Dolphin 2.9.2 Mixtral 8x22B 🐬,null,paid,
qwen/qwen-2-72b-instruct,Qwen 2 72B Instruct,null,paid,
mistralai/mistral-7b-instruct:free,Mistral,Mistral 7B Instruct (free),free,
mistralai/mistral-7b-instruct,Mistral,Mistral 7B Instruct,paid,
mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral 7B Instruct v0.3,paid,
nousresearch/hermes-2-pro-llama-3-8b,NousResearch,Hermes 2 Pro - Llama-3 8B,paid,
microsoft/phi-3-mini-128k-instruct:free,Microsoft,Phi-3 Mini 128K Instruct (free),free,
microsoft/phi-3-mini-128k-instruct,Microsoft,Phi-3 Mini 128K Instruct,paid,
microsoft/phi-3-medium-128k-instruct:free,Microsoft,Phi-3 Medium 128K Instruct (free),free,
microsoft/phi-3-medium-128k-instruct,Microsoft,Phi-3 Medium 128K Instruct,paid,
neversleep/llama-3-lumimaid-70b,NeverSleep,Llama 3 Lumimaid 70B,paid,
google/gemini-flash-1.5,Google,Gemini Flash 1.5,paid,
openai/gpt-4o-2024-05-13,OpenAI,GPT-4o (2024-05-13),paid,
meta-llama/llama-3-8b,Meta,Llama 3 8B (Base),paid,
meta-llama/llama-3-70b,Meta,Llama 3 70B (Base),paid,
meta-llama/llama-guard-2-8b,Meta,LlamaGuard 2 8B,paid,
openai/gpt-4o,OpenAI,GPT-4o,paid,
openai/gpt-4o:extended,OpenAI,GPT-4o (extended),paid,
neversleep/llama-3-lumimaid-8b:extended,NeverSleep,Llama 3 Lumimaid 8B (extended),paid,
neversleep/llama-3-lumimaid-8b,NeverSleep,Llama 3 Lumimaid 8B,paid,
sao10k/fimbulvetr-11b-v2,Fimbulvetr 11B v2,null,paid,
meta-llama/llama-3-8b-instruct:free,Meta,Llama 3 8B Instruct (free),free,
meta-llama/llama-3-8b-instruct,Meta,Llama 3 8B Instruct,paid,
meta-llama/llama-3-70b-instruct,Meta,Llama 3 70B Instruct,paid,
mistralai/mixtral-8x22b-instruct,Mistral,Mixtral 8x22B Instruct,paid,
microsoft/wizardlm-2-8x22b,WizardLM-2 8x22B,null,paid,
microsoft/wizardlm-2-7b,WizardLM-2 7B,null,paid,
google/gemini-pro-1.5,Google,Gemini Pro 1.5,paid,
openai/gpt-4-turbo,OpenAI,GPT-4 Turbo,paid,
cohere/command-r-plus,Cohere,Command R+,paid,
cohere/command-r-plus-04-2024,Cohere,Command R+ (04-2024),paid,
databricks/dbrx-instruct,Databricks,DBRX 132B Instruct,paid,
sophosympatheia/midnight-rose-70b,Midnight Rose 70B,null,paid,
cohere/command,Cohere,Command,paid,
cohere/command-r,Cohere,Command R,paid,
anthropic/claude-3-haiku:beta,Anthropic,Claude 3 Haiku (self-moderated),paid,
anthropic/claude-3-haiku,Anthropic,Claude 3 Haiku,paid,
anthropic/claude-3-opus:beta,Anthropic,Claude 3 Opus (self-moderated),paid,
anthropic/claude-3-opus,Anthropic,Claude 3 Opus,paid,
anthropic/claude-3-sonnet:beta,Anthropic,Claude 3 Sonnet (self-moderated),paid,
anthropic/claude-3-sonnet,Anthropic,Claude 3 Sonnet,paid,
cohere/command-r-03-2024,Cohere,Command R (03-2024),paid,
mistralai/mistral-large,Mistral Large,null,paid,
google/gemma-7b-it,Google,Gemma 7B,paid,
openai/gpt-3.5-turbo-0613,OpenAI,GPT-3.5 Turbo (older v0613),paid,
openai/gpt-4-turbo-preview,OpenAI,GPT-4 Turbo Preview,paid,
nousresearch/nous-hermes-2-mixtral-8x7b-dpo,Nous,Hermes 2 Mixtral 8x7B DPO,paid,
mistralai/mistral-small,Mistral Small,null,paid,
mistralai/mistral-tiny,Mistral Tiny,null,paid,
mistralai/mistral-medium,Mistral Medium,null,paid,
cognitivecomputations/dolphin-mixtral-8x7b,Dolphin 2.6 Mixtral 8x7B 🐬,null,paid,
google/gemini-pro-vision,Google,Gemini Pro Vision 1.0,paid,
google/gemini-pro,Google,Gemini Pro 1.0,paid,
mistralai/mixtral-8x7b,Mistral,Mixtral 8x7B (base),paid,
mistralai/mixtral-8x7b-instruct,Mistral,Mixtral 8x7B Instruct,paid,
openchat/openchat-7b:free,OpenChat 3.5 7B (free),null,free,
openchat/openchat-7b,OpenChat 3.5 7B,null,paid,
neversleep/noromaid-20b,Noromaid 20B,null,paid,
anthropic/claude-2:beta,Anthropic,Claude v2 (self-moderated),paid,
anthropic/claude-2,Anthropic,Claude v2,paid,
anthropic/claude-2.1:beta,Anthropic,Claude v2.1 (self-moderated),paid,
anthropic/claude-2.1,Anthropic,Claude v2.1,paid,
teknium/openhermes-2.5-mistral-7b,OpenHermes 2.5 Mistral 7B,null,paid,
undi95/toppy-m-7b:free,Toppy M 7B (free),null,free,
undi95/toppy-m-7b,Toppy M 7B,null,paid,
alpindale/goliath-120b,Goliath 120B,null,paid,
openrouter/auto,Auto Router,null,paid,
openai/gpt-3.5-turbo-1106,OpenAI,GPT-3.5 Turbo 16k (older v1106),paid,
openai/gpt-4-1106-preview,OpenAI,GPT-4 Turbo (older v1106),paid,
google/palm-2-chat-bison-32k,Google,PaLM 2 Chat 32k,paid,
google/palm-2-codechat-bison-32k,Google,PaLM 2 Code Chat 32k,paid,
jondurbin/airoboros-l2-70b,Airoboros 70B,null,paid,
xwin-lm/xwin-lm-70b,Xwin 70B,null,paid,
openai/gpt-3.5-turbo-instruct,OpenAI,GPT-3.5 Turbo Instruct,paid,
mistralai/mistral-7b-instruct-v0.1,Mistral,Mistral 7B Instruct v0.1,paid,
pygmalionai/mythalion-13b,Pygmalion,Mythalion 13B,paid,
openai/gpt-3.5-turbo-16k,OpenAI,GPT-3.5 Turbo 16k,paid,
openai/gpt-4-32k,OpenAI,GPT-4 32k,paid,
openai/gpt-4-32k-0314,OpenAI,GPT-4 32k (older v0314),paid,
nousresearch/nous-hermes-llama2-13b,Nous,Hermes 13B,paid,
mancer/weaver,Mancer,Weaver (alpha),paid,
huggingfaceh4/zephyr-7b-beta:free,Hugging Face,Zephyr 7B (free),free,
anthropic/claude-2.0:beta,Anthropic,Claude v2.0 (self-moderated),paid,
anthropic/claude-2.0,Anthropic,Claude v2.0,paid,
undi95/remm-slerp-l2-13b,ReMM SLERP 13B,null,paid,
google/palm-2-chat-bison,Google,PaLM 2 Chat,paid,
google/palm-2-codechat-bison,Google,PaLM 2 Code Chat,paid,
gryphe/mythomax-l2-13b:free,MythoMax 13B (free),null,free,
gryphe/mythomax-l2-13b,MythoMax 13B,null,paid,
meta-llama/llama-2-13b-chat,Meta,Llama 2 13B Chat,paid,
meta-llama/llama-2-70b-chat,Meta,Llama 2 70B Chat,paid,
openai/gpt-3.5-turbo,OpenAI,GPT-3.5 Turbo,paid,
openai/gpt-3.5-turbo-0125,OpenAI,GPT-3.5 Turbo 16k,paid,
openai/gpt-4,OpenAI,GPT-4,paid,
openai/gpt-4-0314,OpenAI,GPT-4 (older v0314),paid,
